Type,plantid
string,number
Trees and Shrubs,181
Groundcover,20
Grasses,16
Other Strap-leaved Plants,8
Rushes and Sedges,6
Aquatic and Riparian Zone Plants,5
Bulbs and Lilies,4
Climbers,2
